id,title,poster
tt0050598,A King in New York (1957),"https://m.media-amazon.com/images/M/MV5BOWIzMWY4ZDgtNjFhNi00YmM4LThjODEtYWE0MWE4MTEzOTVkXkEyXkFqcGdeQXVyMDI2NDg0NQ@@._V1_QL75_UX190_CR0,2,190,281_.jpg"
tt0183790,A Knight's Tale (2001),"https://m.media-amazon.com/images/M/MV5BMTE5OTE4OTE2Nl5BMl5BanBnXkFtZTYwMDkzMTQ3._V1_QL75_UX190_CR0,3,190,281_.jpg"
tt0104694,A League of Their Own (1992),"https://m.media-amazon.com/images/M/MV5BNjQ1NTQyYjktZDc5My00NDA1LWI1NmItY2ViNjQ0NDk4NmRjXkEyXkFqcGdeQXVyNTAyODkwOQ@@._V1_QL75_UX190_CR0,0,190,281_.jpg"
tt3108318,A Lesson in Romance (TV Movie 2014),"https://m.media-amazon.com/images/M/MV5BZjUxYjU0ZWQtMWU0ZC00NzQxLTk4NjQtYjIzZDJjZjE1Y2QxXkEyXkFqcGdeQXVyNjc2MjU0MTA@._V1_QL75_UX190_CR0,28,190,281_.jpg"
tt0119535,A Life Less Ordinary (1997),"https://m.media-amazon.com/images/M/MV5BYjRiMDhmNTctNGJiYi00MTQ5LTg2N2YtMGQ1NDQyNzU4OWIwXkEyXkFqcGdeQXVyMTQ4NDY5OTc@._V1_QL75_UX190_CR0,1,190,281_.jpg"
tt0076319,A Little Night Music (1977),"https://m.media-amazon.com/images/M/MV5BZGMwYzc2Y2YtOTMzZC00ODRmLWJjMTctZmJlNjRhMjYzMzlhXkEyXkFqcGdeQXVyMjUyNDk2ODc@._V1_QL75_UX190_CR0,7,190,281_.jpg"
tt1422136,A Lonely Place to Die (2011),"https://m.media-amazon.com/images/M/MV5BNTM5OTA2MTc2N15BMl5BanBnXkFtZTcwMjI3NDQyNg@@._V1_QL75_UY281_CR4,0,190,281_.jpg"
tt0458413,A Long Way Down (2014),"https://m.media-amazon.com/images/M/MV5BMTc0MTg0MDI2Ml5BMl5BanBnXkFtZTgwNzM4MDYwMTE@._V1_QL75_UX190_CR0,1,190,281_.jpg"
tt0391304,A Lot Like Love (2005),"https://m.media-amazon.com/images/M/MV5BMTQyMjU1MTYxNl5BMl5BanBnXkFtZTcwMjI2MjgyMQ@@._V1_QL75_UX190_CR0,0,190,281_.jpg"
tt0110399,A Low Down Dirty Shame (1994),"https://m.media-amazon.com/images/M/MV5BMmE2Y2FmNmEtNzc5OC00OTUyLThlY2QtODQ4NTI4OTJhMzAwXkEyXkFqcGdeQXVyMjQ3NzUxOTM@._V1_QL75_UY281_CR0,0,190,281_.jpg"
tt7054636,A Madea Family Funeral (2019),"https://m.media-amazon.com/images/M/MV5BYTExYTc3YTMtMDY2YS00YTFhLTgwODEtNWQ2MmMzOGZhNTU5XkEyXkFqcGdeQXVyNDExODY2MjU@._V1_QL75_UX190_CR0,6,190,281_.jpg"
tt0266465,A Man Apart (2003),"https://m.media-amazon.com/images/M/MV5BMTk4NzEwNjk1N15BMl5BanBnXkFtZTYwNTEzNTk5._V1_QL75_UX190_CR0,0,190,281_.jpg"
tt0203672,A Man Called Hero (1999),"https://m.media-amazon.com/images/M/MV5BYmYwYzI2ZDAtNmQ2Ni00NDNkLThkN2YtNjkwYTU4NmUwOWY2XkEyXkFqcGdeQXVyMTY5Nzc4MDY@._V1_QL75_UY281_CR11,0,190,281_.jpg"
